,output,target,rel_error
130,2.03531,1.0,1.03531
113,2.03531,1.0,1.03531
87,2.03531,1.0,1.03531
61,2.03531,1.0,1.03531
134,2.03531,1.0,1.03531
28,2.03531,1.0,1.03531
81,2.03531,1.0,1.03531
149,2.03531,1.0,1.03531
152,2.03531,1.0,1.03531
73,2.03531,1.0,1.03531
15,2.03531,1.0,1.03531
157,2.03531,1.0,1.03531
114,2.03531,1.0,1.03531
190,2.03531,1.0,1.03531
173,2.1144097,1.0,1.1144097
64,2.03531,1.0,1.03531
183,2.03531,1.0,1.03531
36,2.03531,2.0,0.017655015
46,2.035318,2.0,0.017658949
188,2.03531,2.0,0.017655015
186,2.03531,2.0,0.017655015
135,2.0419862,2.0,0.020993114
5,2.03531,2.0,0.017655015
26,2.03531,2.0,0.017655015
11,2.03531,2.0,0.017655015
70,2.03531,2.0,0.017655015
150,2.03531,2.0,0.017655015
21,2.895781,2.0,0.44789052
179,2.03531,2.0,0.017655015
116,2.03531,2.0,0.017655015
18,2.03531,2.0,0.017655015
54,2.03531,2.0,0.017655015
168,2.03531,2.0,0.017655015
169,2.03531,2.0,0.017655015
139,2.03531,2.0,0.017655015
67,2.03531,3.0,0.32156333
89,2.03531,3.0,0.32156333
58,2.03531,3.0,0.32156333
105,2.03531,3.0,0.32156333
52,2.03531,3.0,0.32156333
194,2.03531,3.0,0.32156333
137,2.03531,3.0,0.32156333
189,2.03531,3.0,0.32156333
126,2.03531,3.0,0.32156333
34,2.03531,3.0,0.32156333
63,2.03531,3.0,0.32156333
193,2.03531,4.0,0.4911725
102,2.03531,4.0,0.4911725
181,2.0931046,4.0,0.47672385
177,2.03531,4.0,0.4911725
171,2.4801698,4.0,0.37995756
166,2.03531,4.0,0.4911725
77,2.03531,4.0,0.4911725
96,2.03531,4.0,0.4911725
159,2.6609342,4.0,0.33476645
146,2.03531,4.0,0.4911725
117,2.03531,4.0,0.4911725
98,2.03531,4.0,0.4911725
124,2.03531,4.0,0.4911725
91,2.03531,4.0,0.4911725
92,2.03531,4.0,0.4911725
78,2.03531,4.0,0.4911725
118,2.03531,4.0,0.4911725
0,2.03531,4.0,0.4911725
8,2.03531,4.0,0.4911725
13,2.1171217,4.0,0.47071958
90,2.03531,5.0,0.592938
192,2.03531,5.0,0.592938
148,2.03531,5.0,0.592938
127,2.4657772,5.0,0.5068446
31,2.03531,5.0,0.592938
163,2.03531,5.0,0.592938
165,2.03531,5.0,0.592938
44,2.03531,5.0,0.592938
75,2.03531,5.0,0.592938
22,2.03531,5.0,0.592938
94,2.03531,6.0,0.6607817
140,2.03531,6.0,0.6607817
45,2.03531,6.0,0.6607817
99,2.03531,6.0,0.6607817
49,2.03531,6.0,0.6607817
104,2.036517,6.0,0.6605805
185,2.03531,6.0,0.6607817
71,2.03531,6.0,0.6607817
191,2.03531,6.0,0.6607817
132,2.03531,6.0,0.6607817
29,2.03531,7.0,0.70924145
41,2.03531,7.0,0.70924145
108,2.03531,7.0,0.70924145
109,2.0411954,7.0,0.70840067
136,3.6608582,7.0,0.47702026
97,2.6311846,7.0,0.6241165
88,2.03531,7.0,0.70924145
151,3.5742776,7.0,0.4893889
156,2.2727587,7.0,0.6753202
40,2.03531,7.0,0.70924145
167,2.03531,8.0,0.7455863
68,2.03531,8.0,0.7455863
187,2.03531,8.0,0.7455863
128,2.03531,8.0,0.7455863
101,2.7560267,8.0,0.65549666
9,2.03531,8.0,0.7455863
74,2.03531,8.0,0.7455863
4,2.2421136,8.0,0.7197358
112,2.03531,9.0,0.7738545
35,2.122588,9.0,0.7641569
178,2.03531,9.0,0.7738545
43,2.0561068,9.0,0.77154374
14,2.03531,9.0,0.7738545
6,2.03531,9.0,0.7738545
39,2.03531,9.0,0.7738545
175,2.03531,10.0,0.79646903
12,2.03531,10.0,0.79646903
2,5.109652,10.0,0.4890348
24,2.03531,10.0,0.79646903
60,2.0431879,10.0,0.7956812
161,2.03531,11.0,0.81497186
162,2.1457412,11.0,0.8049326
95,2.03531,11.0,0.81497186
138,2.03531,11.0,0.81497186
86,2.4821131,12.0,0.7931573
25,2.3172138,12.0,0.80689883
79,4.2768707,12.0,0.6435941
125,3.6228814,12.0,0.69809324
143,2.03531,13.0,0.84343773
85,2.0800948,13.0,0.83999264
56,2.3268936,13.0,0.82100815
155,2.03531,13.0,0.84343773
33,2.5358322,13.0,0.804936
107,2.03531,14.0,0.85462075
184,2.03531,14.0,0.85462075
147,2.1784966,14.0,0.84439313
121,5.7861753,14.0,0.5867018
111,2.03531,15.0,0.8643127
57,6.4166665,15.0,0.5722223
83,4.537947,15.0,0.69747025
123,2.8501692,15.0,0.80998874
17,2.827284,16.0,0.82329476
160,4.6981783,16.0,0.70636386
47,2.03531,16.0,0.87279314
84,7.1010666,16.0,0.55618334
122,2.500204,16.0,0.84373724
170,2.8673162,16.0,0.82079273
59,2.330248,17.0,0.8629266
76,2.1212618,17.0,0.8752199
69,2.7412655,17.0,0.8387491
3,2.8630755,18.0,0.84094024
144,4.952335,19.0,0.7393508
65,2.1232252,19.0,0.88825125
50,2.29917,19.0,0.87899107
176,3.1920862,20.0,0.84039575
23,2.2686465,20.0,0.8865677
153,3.5372484,21.0,0.8315596
82,2.2047555,22.0,0.89978385
19,3.8364935,22.0,0.8256139
53,3.5177898,22.0,0.84010047
38,2.911129,22.0,0.86767596
93,3.1281426,22.0,0.8578117
129,8.480997,23.0,0.631261
66,2.8789616,23.0,0.87482774
20,4.655498,23.0,0.79758704
120,5.659839,23.0,0.75392
100,2.3249009,23.0,0.8989173
10,3.1790342,24.0,0.8675402
154,2.4412909,24.0,0.8982795
106,5.103972,26.0,0.8036934
174,5.1529446,26.0,0.80180985
103,3.2602367,26.0,0.87460625
158,8.199367,27.0,0.6963197
1,7.5496125,27.0,0.7203847
62,4.465637,27.0,0.83460605
145,7.9002795,29.0,0.72757655
180,2.221494,30.0,0.92595017
80,2.23303,31.0,0.9279668
141,7.7939825,32.0,0.756438
182,12.98376,32.0,0.5942575
16,9.875677,33.0,0.70073706
42,3.7914855,33.0,0.8851065
119,5.803131,37.0,0.8431586
48,5.8185325,40.0,0.8545367
72,3.0650382,42.0,0.92702293
55,4.301816,44.0,0.90223145
164,15.3702,44.0,0.65067726
37,8.472797,45.0,0.8117156
115,13.061829,48.0,0.7278786
142,9.412841,54.0,0.8256881
30,7.930127,63.0,0.874125
110,9.372788,72.0,0.8698224
27,6.249524,82.0,0.9237863
7,7.6319647,87.0,0.91227627
51,6.9217796,91.0,0.9239364
131,23.617258,99.0,0.7614419
133,21.939678,126.0,0.8258755
172,13.784936,128.0,0.8923052
32,19.832785,149.0,0.8668941
