,output,target,rel_error
194,2.2602024,1.0,1.2602024
67,2.2602024,1.0,1.2602024
70,2.2602024,1.0,1.2602024
41,2.2602024,1.0,1.2602024
78,2.2602024,1.0,1.2602024
94,2.2602024,1.0,1.2602024
107,2.7749991,1.0,1.7749991
28,2.2602024,1.0,1.2602024
133,2.2602024,1.0,1.2602024
22,2.2602024,1.0,1.2602024
19,2.2602024,1.0,1.2602024
18,2.2602024,1.0,1.2602024
16,2.2967424,1.0,1.2967424
147,2.2602024,1.0,1.2602024
57,2.2602024,1.0,1.2602024
188,2.2602024,1.0,1.2602024
183,2.2602024,1.0,1.2602024
181,2.2602024,1.0,1.2602024
7,2.2602024,1.0,1.2602024
1,2.2602024,2.0,0.1301012
69,2.2602024,2.0,0.1301012
73,2.2602024,2.0,0.1301012
4,2.2602024,2.0,0.1301012
35,2.2602024,2.0,0.1301012
113,2.2602024,2.0,0.1301012
162,2.2602024,2.0,0.1301012
118,2.2602024,2.0,0.1301012
161,2.2602024,2.0,0.1301012
155,2.2602024,2.0,0.1301012
158,2.2602024,2.0,0.1301012
21,2.2602024,2.0,0.1301012
175,2.2602024,2.0,0.1301012
82,2.2602024,3.0,0.2465992
46,2.2602024,3.0,0.2465992
145,2.2602024,3.0,0.2465992
47,7.897405,3.0,1.6324683
20,2.2602024,3.0,0.2465992
165,2.2602024,3.0,0.2465992
190,2.2602024,3.0,0.2465992
157,2.2602024,4.0,0.4349494
143,16.717405,4.0,3.1793513
177,2.2602024,4.0,0.4349494
182,2.2602024,4.0,0.4349494
186,2.2602024,4.0,0.4349494
101,2.2602024,4.0,0.4349494
111,2.2602024,4.0,0.4349494
126,2.2828257,4.0,0.42929357
75,2.2602024,4.0,0.4349494
114,9.305483,4.0,1.3263707
0,2.2602024,4.0,0.4349494
12,2.2602024,4.0,0.4349494
13,2.2602024,4.0,0.4349494
40,2.2602024,4.0,0.4349494
45,2.2602024,5.0,0.5479595
140,2.2602024,5.0,0.5479595
149,2.2602024,5.0,0.5479595
150,10.442968,5.0,1.0885937
131,2.2602024,5.0,0.5479595
159,4.4099636,5.0,0.11800728
97,2.2602024,5.0,0.5479595
178,2.2602024,5.0,0.5479595
79,2.2602024,5.0,0.5479595
180,2.2602024,5.0,0.5479595
80,2.2602024,5.0,0.5479595
83,7.9656124,5.0,0.5931225
30,2.2602024,5.0,0.5479595
68,2.2602024,5.0,0.5479595
148,2.2602024,5.0,0.5479595
39,2.2602024,6.0,0.6232996
34,2.9480252,6.0,0.50866246
98,2.2602024,6.0,0.6232996
138,2.2602024,7.0,0.67711395
151,24.273235,7.0,2.467605
109,2.2602024,7.0,0.67711395
23,18.365047,7.0,1.6235782
167,2.2602024,7.0,0.67711395
31,2.2602024,7.0,0.67711395
129,2.2602024,7.0,0.67711395
179,2.2602024,7.0,0.67711395
88,2.2602024,7.0,0.67711395
87,10.69934,7.0,0.52847713
44,2.2602024,7.0,0.67711395
187,2.2602024,7.0,0.67711395
119,2.435937,7.0,0.652009
85,10.79359,7.0,0.54194134
86,3.777231,7.0,0.46039557
117,2.2602024,8.0,0.7174747
66,2.2602024,8.0,0.7174747
6,7.848872,8.0,0.018890977
130,2.2602024,8.0,0.7174747
120,2.2602024,8.0,0.7174747
192,6.315556,9.0,0.29827154
168,2.2602024,9.0,0.7488664
137,14.007409,9.0,0.5563788
124,2.2602024,9.0,0.7488664
50,2.2602024,9.0,0.7488664
74,9.994111,9.0,0.11045679
135,2.2602024,10.0,0.7739798
15,3.1082904,11.0,0.71742815
115,13.083137,11.0,0.18937606
141,10.138208,11.0,0.078344695
154,2.3582888,11.0,0.78561014
103,2.2602024,11.0,0.79452705
96,5.8339925,12.0,0.51383394
142,12.401979,12.0,0.033498287
9,2.2602024,12.0,0.8116498
144,2.2602024,12.0,0.8116498
105,2.7465785,12.0,0.77111846
36,2.2602024,12.0,0.8116498
17,2.2602024,12.0,0.8116498
63,2.2602024,12.0,0.8116498
49,12.568394,12.0,0.047366142
173,2.2602024,13.0,0.82613826
189,4.375311,14.0,0.68747777
8,15.20258,14.0,0.0858986
139,12.067904,14.0,0.13800682
156,2.2602024,14.0,0.83855695
125,21.732208,14.0,0.5523006
152,20.269108,15.0,0.35127386
11,14.983874,15.0,0.0010750453
166,17.407562,15.0,0.16050415
81,2.2602024,15.0,0.8493198
54,5.150768,15.0,0.65661544
100,9.746044,15.0,0.3502637
99,8.271073,15.0,0.4485951
104,7.8454633,15.0,0.47696912
123,2.2602024,16.0,0.85873735
121,10.694007,16.0,0.33162457
90,2.2602024,16.0,0.85873735
153,2.4878473,16.0,0.84450954
14,2.2602024,16.0,0.85873735
60,9.776357,16.0,0.3889777
127,14.316381,16.0,0.10522616
76,24.75984,17.0,0.4564612
24,2.2602024,17.0,0.8670469
193,11.412708,17.0,0.3286642
29,14.463558,17.0,0.14920247
59,15.458916,18.0,0.14117135
27,18.126406,18.0,0.0070225396
95,12.907074,18.0,0.28294033
174,17.772913,19.0,0.064583525
48,4.150387,20.0,0.79248065
32,9.010809,20.0,0.5494596
2,11.578066,21.0,0.44866353
65,23.829662,21.0,0.13474582
102,7.8974547,21.0,0.6239307
160,13.016725,22.0,0.4083307
136,21.10938,22.0,0.040482696
3,14.887039,22.0,0.3233164
169,21.717047,22.0,0.012861512
91,21.624098,23.0,0.059821833
128,11.391436,23.0,0.5047202
106,22.411158,23.0,0.025601843
110,22.864254,23.0,0.0059020002
163,2.2602024,24.0,0.9058249
89,19.071833,24.0,0.20534031
84,24.377726,24.0,0.015738567
5,2.8448653,25.0,0.8862054
116,19.549986,25.0,0.21800056
64,15.470687,25.0,0.38117254
171,26.45116,26.0,0.017352324
10,11.845058,27.0,0.56129414
55,14.0861225,29.0,0.5142716
112,11.227522,31.0,0.63782185
122,29.340078,32.0,0.08312255
93,15.071897,32.0,0.52900326
25,28.07331,33.0,0.14929362
191,16.623919,33.0,0.4962449
170,18.691235,35.0,0.46596473
43,24.023218,36.0,0.3326884
108,24.755112,36.0,0.31235802
92,18.66932,36.0,0.4814078
33,33.216896,37.0,0.10224605
42,17.477196,39.0,0.55186677
56,23.571037,40.0,0.41072407
26,20.708097,42.0,0.5069501
164,19.002785,42.0,0.54755276
184,15.959987,43.0,0.6288375
132,19.938747,47.0,0.57577133
146,24.429455,48.0,0.49105301
172,26.363634,52.0,0.49300703
52,16.835697,57.0,0.7046369
134,20.94,62.0,0.662258
185,48.991707,72.0,0.31955963
61,32.608814,80.0,0.5923898
72,31.575153,82.0,0.6149371
53,46.48042,95.0,0.5107324
176,20.070024,99.0,0.7972725
71,39.72139,100.0,0.6027861
51,35.021,114.0,0.69279826
58,38.049095,128.0,0.70274144
77,44.65913,146.0,0.6941155
62,46.267773,149.0,0.68947804
37,45.41046,158.0,0.712592
38,91.35896,203.0,0.54995584
