,output,target,rel_error
83,0.9038145,1.0,0.096185505
30,0.72836185,1.0,0.27163815
34,0.86708665,1.0,0.13291335
40,0.72466195,1.0,0.27533805
92,1.6223505,1.0,0.62235045
54,1.6773443,1.0,0.6773443
122,0.55386525,1.0,0.44613475
23,0.68218946,1.0,0.31781054
157,1.9281008,1.0,0.9281008
121,0.7967248,1.0,0.2032752
99,1.0448942,1.0,0.04489422
75,1.2918085,1.0,0.2918085
3,0.8417385,1.0,0.15826148
96,2.1003325,1.0,1.1003325
1,1.406757,1.0,0.406757
69,1.3673791,1.0,0.36737907
107,1.9188951,2.0,0.040552437
113,2.979716,2.0,0.48985803
73,2.6272473,2.0,0.31362367
123,1.225999,2.0,0.3870005
53,2.647657,2.0,0.32382846
51,1.5061841,2.0,0.24690795
50,1.9601157,2.0,0.019942164
98,1.5886112,2.0,0.20569438
139,1.9360529,2.0,0.03197354
175,2.4845707,2.0,0.24228537
41,1.8026263,2.0,0.098686874
24,2.269775,2.0,0.13488746
168,0.6730794,2.0,0.6634603
144,1.8408068,2.0,0.07959658
167,0.9346226,2.0,0.53268874
161,3.0486927,2.0,0.52434635
13,2.044352,2.0,0.022176027
16,0.8348858,2.0,0.5825571
97,3.3695948,3.0,0.12319827
74,3.1585636,3.0,0.052854538
65,1.7727485,3.0,0.40908384
151,2.364122,3.0,0.21195936
48,2.2403922,3.0,0.2532026
146,3.9668748,3.0,0.3222916
143,4.1321683,3.0,0.37738943
138,1.9256927,3.0,0.35810244
145,2.571371,3.0,0.14287631
133,3.1749384,3.0,0.058312815
39,3.0769265,4.0,0.23076838
94,3.7153058,4.0,0.07117355
28,4.3843536,4.0,0.09608841
33,2.559503,4.0,0.36012423
102,4.2604856,4.0,0.06512141
11,5.107784,4.0,0.27694595
117,5.151287,4.0,0.28782177
14,3.574819,4.0,0.10629523
56,4.1695676,4.0,0.042391896
116,4.593215,4.0,0.14830375
153,5.5028257,4.0,0.37570643
128,3.1684475,4.0,0.20788813
44,3.2156186,4.0,0.19609535
130,4.6361074,4.0,0.15902686
46,4.009561,4.0,0.0023902655
125,4.4708014,4.0,0.11770034
38,3.736827,4.0,0.065793276
171,5.1962776,5.0,0.039255522
100,4.5500183,5.0,0.08999634
158,6.585747,5.0,0.31714934
154,6.820115,5.0,0.36402303
105,5.8560805,5.0,0.1712161
124,5.0989957,5.0,0.019799137
47,2.5115464,5.0,0.49769074
12,5.734682,5.0,0.14693642
32,5.737539,6.0,0.043743532
80,6.878943,6.0,0.1464905
29,6.6500216,6.0,0.108336926
76,5.457981,6.0,0.09033648
57,5.06593,6.0,0.15567835
25,6.2353816,6.0,0.03923027
126,5.521544,6.0,0.07974267
52,7.194332,6.0,0.19905536
