,output,target,rel_error
56,7.2772913,2.3527968,2.0930388
113,7.2772913,2.468747,1.9477671
99,7.2772913,2.5694056,1.832286
170,7.2772913,2.917022,1.4947674
147,7.2772913,3.0033126,1.4230882
73,7.2772913,3.1048002,1.3438839
131,7.2772913,3.2979083,1.2066385
164,7.2772913,3.331833,1.1841706
169,7.2772913,3.3702106,1.1592987
76,7.2772913,3.6391647,0.99971473
88,7.2772913,3.6452725,0.9963641
92,7.2772913,3.6832886,0.9757592
87,7.2772913,3.8857987,0.87279165
166,7.2772913,3.8926177,0.86951095
31,7.2772913,3.9013982,0.8653034
98,7.2772913,3.9742684,0.83110213
135,7.2772913,3.985809,0.82580024
174,7.2772913,3.9993417,0.8196223
34,7.2772913,4.007489,0.81592286
20,7.2772913,4.047079,0.7981589
50,7.2772913,4.0969176,0.7762845
129,7.2772913,4.130148,0.7619929
25,7.2772913,4.1483827,0.75424784
151,7.2772913,4.1628613,0.7481465
114,7.2772913,4.169944,0.7451773
158,7.2772913,4.1944385,0.7349858
75,7.2772913,4.197223,0.73383474
72,7.2772913,4.3324637,0.679712
17,7.2772913,4.35861,0.6696357
52,7.2772913,4.3597484,0.6691998
96,7.2772913,4.45348,0.63406855
165,7.2772913,4.4890275,0.6211287
38,7.2772913,4.5313916,0.6059727
155,7.2772913,4.565776,0.5938783
94,7.2772913,4.598327,0.58259535
167,7.2772913,4.599258,0.5822751
127,7.2772913,4.640993,0.56804615
117,7.2772913,4.673464,0.5571515
138,7.2772913,4.7021127,0.54766417
173,7.2772913,4.8016663,0.51557624
105,7.2772913,4.8059263,0.5142328
57,7.2772913,4.8861537,0.4893701
130,7.2772913,4.907914,0.48276663
168,7.2772913,4.9338117,0.4749836
60,7.2772913,4.936125,0.4742924
81,7.2772913,4.941561,0.47267047
162,7.2772913,4.951353,0.4697581
47,7.2772913,4.96434,0.4659131
121,7.2772913,4.9951544,0.45687014
35,7.2772913,5.1083565,0.42458564
49,7.2772913,5.123281,0.42043573
85,7.2772913,5.1718745,0.40708968
40,7.2772913,5.177261,0.40562576
104,7.2772913,5.237416,0.3894813
55,7.2772913,5.284543,0.37708998
19,7.8409595,5.303312,0.47850245
12,7.2772913,5.434083,0.339194
84,7.2772913,5.502115,0.32263532
30,7.2772913,5.5028734,0.32245296
137,7.2772913,5.526285,0.31685048
156,7.2772913,5.5678396,0.30702242
126,7.2772913,5.627965,0.29305908
7,7.3054647,5.6616178,0.29034933
26,7.2772913,5.664904,0.28462744
107,7.559148,5.676255,0.33171389
1,7.2772913,5.6882544,0.27935407
28,7.2772913,5.720684,0.27210158
36,7.2772913,5.755104,0.26449344
39,7.2772913,5.7817187,0.25867265
115,7.2772913,5.8232374,0.24969853
5,7.2772913,5.8301196,0.24822333
103,7.2772913,5.8495235,0.24408275
8,7.2772913,5.8499017,0.24400233
11,7.2772913,5.8501945,0.24394007
86,7.3934717,5.8512497,0.26357138
111,7.2772913,5.8557286,0.24276444
58,7.2772913,5.857583,0.242371
161,7.2772913,5.8696265,0.23982187
141,7.4304566,5.875522,0.26464617
