,output,target,rel_error
130,5.943369,1.0,4.943369
113,5.943369,1.0,4.943369
87,5.943369,1.0,4.943369
61,5.943369,1.0,4.943369
134,5.943369,1.0,4.943369
28,5.943369,1.0,4.943369
81,5.943369,1.0,4.943369
149,5.943369,1.0,4.943369
152,5.943369,1.0,4.943369
73,5.943369,1.0,4.943369
15,5.943369,1.0,4.943369
157,5.943369,1.0,4.943369
114,5.943369,1.0,4.943369
190,5.943369,1.0,4.943369
173,6.00892,1.0,5.00892
64,5.943369,1.0,4.943369
183,5.943369,1.0,4.943369
36,5.943369,2.0,1.9716845
46,5.9433794,2.0,1.9716897
188,5.943369,2.0,1.9716845
186,5.943369,2.0,1.9716845
135,5.95189,2.0,1.975945
5,5.943369,2.0,1.9716845
26,5.943369,2.0,1.9716845
11,5.943369,2.0,1.9716845
70,5.943369,2.0,1.9716845
150,5.943369,2.0,1.9716845
21,6.351831,2.0,2.1759155
179,5.943369,2.0,1.9716845
116,5.943369,2.0,1.9716845
18,5.943369,2.0,1.9716845
54,5.943369,2.0,1.9716845
168,5.943369,2.0,1.9716845
169,5.943369,2.0,1.9716845
139,5.943369,2.0,1.9716845
67,5.943369,3.0,0.981123
89,5.943369,3.0,0.981123
58,5.943369,3.0,0.981123
105,5.943369,3.0,0.981123
52,5.943369,3.0,0.981123
194,5.943369,3.0,0.981123
137,5.943369,3.0,0.981123
189,5.943369,3.0,0.981123
126,5.943369,3.0,0.981123
34,5.943369,3.0,0.981123
63,5.943369,3.0,0.981123
193,5.943369,4.0,0.48584223
102,5.943369,4.0,0.48584223
181,6.007391,4.0,0.50184774
177,5.943369,4.0,0.48584223
171,6.212393,4.0,0.5530982
166,5.943369,4.0,0.48584223
77,5.943369,4.0,0.48584223
96,5.943369,4.0,0.48584223
159,6.3302135,4.0,0.5825534
146,5.943369,4.0,0.48584223
117,5.943369,4.0,0.48584223
98,5.943369,4.0,0.48584223
124,5.943369,4.0,0.48584223
91,5.943369,4.0,0.48584223
92,5.943369,4.0,0.48584223
78,5.943369,4.0,0.48584223
118,5.943369,4.0,0.48584223
0,5.943369,4.0,0.48584223
8,5.943369,4.0,0.48584223
13,6.039055,4.0,0.5097637
90,5.943369,5.0,0.18867378
192,5.943369,5.0,0.18867378
148,5.943369,5.0,0.18867378
127,6.3649435,5.0,0.2729887
31,5.943369,5.0,0.18867378
163,5.943369,5.0,0.18867378
165,5.943369,5.0,0.18867378
44,5.943369,5.0,0.18867378
75,5.943369,5.0,0.18867378
22,5.943369,5.0,0.18867378
94,5.943369,6.0,0.009438515
140,5.943369,6.0,0.009438515
45,5.943369,6.0,0.009438515
99,5.943369,6.0,0.009438515
49,5.943369,6.0,0.009438515
104,5.944847,6.0,0.009192149
185,5.943369,6.0,0.009438515
71,5.943369,6.0,0.009438515
191,5.943369,6.0,0.009438515
132,5.943369,6.0,0.009438515
29,5.943369,7.0,0.1509473
41,5.943369,7.0,0.1509473
108,5.943369,7.0,0.1509473
109,5.951667,7.0,0.14976189
136,16.023474,7.0,1.2890676
97,6.3736157,7.0,0.08948346
88,5.943369,7.0,0.1509473
151,16.764856,7.0,1.3949795
156,6.1396265,7.0,0.1229105
40,5.943369,7.0,0.1509473
167,5.943369,8.0,0.2570789
