,output,target,rel_error
194,3.2435288,1.0,2.2435288
67,3.2435288,1.0,2.2435288
70,3.2435288,1.0,2.2435288
41,3.2435288,1.0,2.2435288
78,3.2435288,1.0,2.2435288
94,3.2435288,1.0,2.2435288
107,3.8352766,1.0,2.8352766
28,3.2435288,1.0,2.2435288
133,3.2435288,1.0,2.2435288
22,3.2435288,1.0,2.2435288
19,3.2435288,1.0,2.2435288
18,3.2435288,1.0,2.2435288
16,3.265916,1.0,2.265916
147,3.2435288,1.0,2.2435288
57,3.2435288,1.0,2.2435288
188,3.2435288,1.0,2.2435288
183,3.2435288,1.0,2.2435288
181,3.2435288,1.0,2.2435288
7,3.2435288,1.0,2.2435288
1,3.2435288,2.0,0.6217644
69,3.2435288,2.0,0.6217644
73,3.2435288,2.0,0.6217644
4,3.2435288,2.0,0.6217644
35,3.2435288,2.0,0.6217644
113,3.2435288,2.0,0.6217644
162,3.2435288,2.0,0.6217644
118,3.2435288,2.0,0.6217644
161,3.2435288,2.0,0.6217644
155,3.2435288,2.0,0.6217644
158,3.2435288,2.0,0.6217644
21,3.2435288,2.0,0.6217644
175,3.2435288,2.0,0.6217644
82,3.2435288,3.0,0.08117628
46,3.2435288,3.0,0.08117628
145,3.2435288,3.0,0.08117628
47,4.169162,3.0,0.3897206
20,3.2435288,3.0,0.08117628
165,3.2435288,3.0,0.08117628
190,3.2435288,3.0,0.08117628
157,3.2435288,4.0,0.18911779
143,8.629137,4.0,1.1572843
177,3.2435288,4.0,0.18911779
182,3.2435288,4.0,0.18911779
186,3.2435288,4.0,0.18911779
101,3.2435288,4.0,0.18911779
111,3.2435288,4.0,0.18911779
126,3.2640471,4.0,0.18398821
75,3.2435288,4.0,0.18911779
114,8.132291,4.0,1.0330727
0,3.2435288,4.0,0.18911779
12,3.2435288,4.0,0.18911779
13,3.2435288,4.0,0.18911779
40,3.2435288,4.0,0.18911779
45,3.2435288,5.0,0.35129422
140,3.2435288,5.0,0.35129422
149,3.2435288,5.0,0.35129422
150,6.9321103,5.0,0.38642207
131,3.2435288,5.0,0.35129422
159,4.2139263,5.0,0.15721473
97,3.2435288,5.0,0.35129422
178,3.2435288,5.0,0.35129422
79,3.2435288,5.0,0.35129422
180,3.2435288,5.0,0.35129422
80,3.2435288,5.0,0.35129422
83,4.812011,5.0,0.037597846
30,3.2435288,5.0,0.35129422
68,3.2435288,5.0,0.35129422
148,3.2435288,5.0,0.35129422
39,3.2435288,6.0,0.45941186
34,3.2932498,6.0,0.45112503
98,3.2435288,6.0,0.45941186
138,3.2435288,7.0,0.53663874
151,15.999249,7.0,1.2856071
109,3.2435288,7.0,0.53663874
23,10.697267,7.0,0.52818096
167,3.2435288,7.0,0.53663874
31,3.2435288,7.0,0.53663874
129,3.2435288,7.0,0.53663874
179,3.2435288,7.0,0.53663874
88,3.2435288,7.0,0.53663874
87,5.919901,7.0,0.15429987
44,3.2435288,7.0,0.53663874
187,3.2435288,7.0,0.53663874
119,3.2646747,7.0,0.5336179
85,6.013343,7.0,0.14095102
86,3.4467235,7.0,0.5076109
117,3.2435288,8.0,0.5945589
66,3.2435288,8.0,0.5945589
6,4.7032304,8.0,0.4120962
130,3.2435288,8.0,0.5945589
120,3.2435288,8.0,0.5945589
192,3.9542131,9.0,0.56064296
168,3.2435288,9.0,0.6396079
137,8.067081,9.0,0.10365762
124,3.2435288,9.0,0.6396079
50,3.2435288,9.0,0.6396079
74,8.025715,9.0,0.1082539
135,3.2435288,10.0,0.67564714
15,3.7504,11.0,0.6590545
115,7.994526,11.0,0.27322492
141,5.307125,11.0,0.5175341
154,3.2526894,11.0,0.70430094
103,3.2435288,11.0,0.70513374
96,4.676111,12.0,0.6103241
142,14.525222,12.0,0.21043515
9,3.2435288,12.0,0.729706
144,3.2435288,12.0,0.729706
105,3.324411,12.0,0.7229657
36,3.2435288,12.0,0.729706
17,3.2435288,12.0,0.729706
63,3.2435288,12.0,0.729706
49,12.705196,12.0,0.058766365
173,3.2435288,13.0,0.7504978
189,3.781513,14.0,0.7298919
8,8.916245,14.0,0.36312532
139,7.124328,14.0,0.4911194
156,3.2435288,14.0,0.7683194
125,13.642887,14.0,0.025508063
152,12.720497,15.0,0.15196685
11,12.122184,15.0,0.19185442
166,12.850524,15.0,0.1432984
81,3.2435288,15.0,0.7837648
54,3.5189998,15.0,0.7654
100,6.434959,15.0,0.5710027
99,5.7830772,15.0,0.61446154
104,4.844101,15.0,0.67705995
123,3.2435288,16.0,0.7972795
121,5.732149,16.0,0.6417407
90,3.2435288,16.0,0.7972795
153,3.3828025,16.0,0.7885748
14,3.2435288,16.0,0.7972795
60,5.863435,16.0,0.6335353
127,8.087462,16.0,0.4945336
76,14.0339,17.0,0.17447646
24,3.2435288,17.0,0.8092042
193,5.9374757,17.0,0.65073675
29,8.415469,17.0,0.5049724
59,6.9751315,18.0,0.6124927
27,12.946648,18.0,0.2807418
95,6.703002,18.0,0.627611
174,10.938103,19.0,0.4243104
48,3.494147,20.0,0.8252927
32,6.563574,20.0,0.6718213
2,6.5623255,21.0,0.6875083
65,14.525478,21.0,0.30831057
102,4.8658485,21.0,0.7682929
160,6.8295465,22.0,0.6895661
136,10.068835,22.0,0.5423257
3,10.621909,22.0,0.5171859
169,11.781499,22.0,0.46447733
91,12.779861,23.0,0.44435385
128,8.832757,23.0,0.6159671
106,15.599128,23.0,0.32177705
110,12.750332,23.0,0.44563773
163,3.2435288,24.0,0.86485296
89,10.5732155,24.0,0.5594494
84,16.272985,24.0,0.32195893
5,3.2980292,25.0,0.8680788
116,11.660646,25.0,0.53357416
64,10.233177,25.0,0.5906729
171,13.721543,26.0,0.47224835
10,8.732847,27.0,0.67656124
55,8.4675045,29.0,0.7080171
112,6.4222326,31.0,0.7928312
122,14.478427,32.0,0.5475491
93,8.495878,32.0,0.7345038
25,14.970919,33.0,0.5463358
191,9.391013,33.0,0.7154238
170,10.652815,35.0,0.6956339
43,13.508122,36.0,0.6247744
108,13.784262,36.0,0.6171038
92,12.770298,36.0,0.6452695
33,16.219967,37.0,0.5616225
42,14.055763,39.0,0.6395958
56,12.009611,40.0,0.6997597
26,12.841847,42.0,0.69424176
164,11.954184,42.0,0.71537656
184,9.364983,43.0,0.7822097
132,12.323546,47.0,0.73779684
146,15.592311,48.0,0.67516017
172,12.79211,52.0,0.75399786
52,11.758677,57.0,0.7937075
134,11.562005,62.0,0.8135161
185,17.7763,72.0,0.75310695
61,17.266031,80.0,0.7841746
72,15.420814,82.0,0.81194127
53,16.119244,95.0,0.8303237
176,16.601776,99.0,0.8323053
71,16.374886,100.0,0.83625114
51,14.402545,114.0,0.87366194
58,14.969181,128.0,0.8830533
77,17.24902,146.0,0.881856
62,20.881344,149.0,0.8598567
37,55.28285,158.0,0.6501085
38,37.245155,203.0,0.81652635
