,output,target,rel_error
86,8.234437,1.0,7.234437
92,8.234437,1.0,7.234437
38,8.234437,1.0,7.234437
160,8.234437,1.0,7.234437
16,8.234437,1.0,7.234437
139,8.234437,1.0,7.234437
112,10.891898,1.0,9.891898
165,8.234437,1.0,7.234437
107,8.234437,1.0,7.234437
163,8.234437,1.0,7.234437
29,8.234437,1.0,7.234437
126,8.234437,1.0,7.234437
116,8.234437,1.0,7.234437
73,8.234437,1.0,7.234437
33,8.234437,2.0,3.1172185
115,8.234437,2.0,3.1172185
68,8.234437,2.0,3.1172185
37,8.234437,2.0,3.1172185
83,8.234437,2.0,3.1172185
127,8.234437,2.0,3.1172185
58,8.234437,2.0,3.1172185
44,8.234437,2.0,3.1172185
131,8.234437,2.0,3.1172185
113,8.234587,2.0,3.1172934
129,8.234437,2.0,3.1172185
128,8.234437,2.0,3.1172185
82,8.234437,2.0,3.1172185
50,8.880115,2.0,3.4400573
114,8.234437,2.0,3.1172185
3,8.234437,2.0,3.1172185
5,8.234437,2.0,3.1172185
22,8.234437,2.0,3.1172185
104,8.489993,2.0,3.2449965
59,8.234437,3.0,1.7448124
19,8.234437,3.0,1.7448124
12,8.234437,3.0,1.7448124
71,8.234437,3.0,1.7448124
85,8.805119,3.0,1.9350395
94,8.234437,3.0,1.7448124
118,8.234437,3.0,1.7448124
174,8.234437,3.0,1.7448124
90,8.234437,3.0,1.7448124
148,8.234437,3.0,1.7448124
132,8.234437,3.0,1.7448124
145,8.234437,4.0,1.0586092
164,8.234437,4.0,1.0586092
157,8.824789,4.0,1.2061973
161,8.234437,4.0,1.0586092
41,8.234437,4.0,1.0586092
40,8.365945,4.0,1.0914862
93,8.234437,4.0,1.0586092
35,8.234437,4.0,1.0586092
152,8.234437,4.0,1.0586092
146,8.234437,4.0,1.0586092
171,8.234437,4.0,1.0586092
1,8.234437,5.0,0.6468874
117,8.601162,5.0,0.72023237
72,8.234437,5.0,0.6468874
65,8.234437,5.0,0.6468874
91,8.234437,5.0,0.6468874
76,12.596726,5.0,1.5193453
96,8.234437,5.0,0.6468874
170,8.812058,5.0,0.7624117
8,8.234437,5.0,0.6468874
78,8.6050415,5.0,0.7210083
81,8.234437,5.0,0.6468874
153,8.234437,5.0,0.6468874
75,8.234437,5.0,0.6468874
111,9.007522,5.0,0.8015043
84,9.118469,6.0,0.5197449
0,8.253823,6.0,0.3756372
31,8.234437,6.0,0.37240615
57,8.234437,6.0,0.37240615
133,8.969795,6.0,0.49496588
46,8.234437,6.0,0.37240615
137,8.332612,6.0,0.38876867
36,8.234437,7.0,0.17634813
141,8.563501,7.0,0.22335733
23,8.234437,7.0,0.17634813
136,9.300904,7.0,0.3287006
162,8.234437,7.0,0.17634813
102,8.821024,7.0,0.2601463
120,8.2470455,7.0,0.17814936
74,8.244954,7.0,0.17785059
172,8.234437,7.0,0.17634813
89,8.234437,7.0,0.17634813
6,11.806199,8.0,0.47577488
98,8.234437,8.0,0.029304624
21,8.4134245,8.0,0.05167806
100,8.234437,8.0,0.029304624
39,8.234437,8.0,0.029304624
48,8.234437,8.0,0.029304624
119,8.234437,8.0,0.029304624
62,8.491643,8.0,0.06145537
34,8.234437,9.0,0.085062556
69,8.234437,9.0,0.085062556
49,8.234437,9.0,0.085062556
55,8.354769,9.0,0.07169236
108,8.234437,9.0,0.085062556
64,8.234437,9.0,0.085062556
166,8.502866,10.0,0.14971343
175,8.234437,10.0,0.1765563
11,8.234437,10.0,0.1765563
17,8.387926,11.0,0.23746127
45,8.234437,11.0,0.2514148
18,8.446136,11.0,0.2321694
51,8.234437,11.0,0.2514148
2,11.06317,11.0,0.0057427664
138,8.234437,11.0,0.2514148
105,8.234437,11.0,0.2514148
144,12.887122,11.0,0.17155656
156,8.268621,11.0,0.24830714
4,8.481621,12.0,0.29319826
143,8.234437,12.0,0.3137969
20,8.553433,12.0,0.2872139
135,8.705138,12.0,0.2745718
66,8.234437,12.0,0.3137969
43,8.234437,12.0,0.3137969
24,9.697733,12.0,0.1918556
142,8.234437,13.0,0.36658177
134,8.294173,13.0,0.36198667
61,8.234437,13.0,0.36658177
97,8.234437,13.0,0.36658177
121,8.439214,13.0,0.35082972
147,8.900032,14.0,0.3642834
54,8.234437,14.0,0.41182593
103,10.477147,14.0,0.25163236
95,8.256228,14.0,0.4102694
101,8.234593,15.0,0.4510271
167,10.448552,15.0,0.30342987
154,10.186918,15.0,0.32087213
173,8.234437,15.0,0.45103753
7,9.0424,15.0,0.39717332
70,9.375068,15.0,0.3749955
130,9.097822,16.0,0.4313861
123,8.234437,17.0,0.51562136
79,9.124235,17.0,0.4632803
15,9.880576,18.0,0.4510791
106,8.262753,19.0,0.5651183
150,9.406686,19.0,0.50491124
122,8.234437,19.0,0.5666086
32,9.3392315,20.0,0.53303844
158,8.371299,20.0,0.5814351
63,8.63816,21.0,0.58865905
28,8.952828,22.0,0.5930533
80,8.234437,22.0,0.6257074
60,9.05433,22.0,0.5884395
151,23.227667,22.0,0.05580304
168,9.056102,23.0,0.6062564
26,9.91217,23.0,0.56903607
13,10.388012,24.0,0.56716615
10,8.940278,24.0,0.62748843
99,9.729708,24.0,0.5945955
149,8.234437,24.0,0.65689844
87,11.118536,25.0,0.5552586
9,12.930672,26.0,0.5026665
25,8.910662,26.0,0.65728223
67,12.114086,27.0,0.55133015
52,10.538216,27.0,0.60969573
27,11.21692,29.0,0.61320966
124,27.573029,29.0,0.04920591
159,9.700929,34.0,0.7146786
88,25.44776,36.0,0.2931178
155,11.024494,39.0,0.7173207
56,26.290632,40.0,0.3427342
30,14.671894,43.0,0.65879315
14,11.906989,45.0,0.7354002
110,11.10078,47.0,0.7638132
109,10.80116,53.0,0.79620457
47,15.596271,54.0,0.71118015
53,12.44916,54.0,0.76946
169,24.505648,62.0,0.60474765
125,29.508093,80.0,0.6311488
42,27.659624,86.0,0.6783765
140,28.081144,106.0,0.7350835
77,40.766075,158.0,0.7419869
