,output,target,rel_error
194,4.0234947,1.0,3.0234947
99,4.0234947,1.0,3.0234947
100,4.0234947,1.0,3.0234947
34,4.0234947,1.0,3.0234947
103,4.0234947,1.0,3.0234947
104,4.0234947,1.0,3.0234947
127,4.0234947,1.0,3.0234947
139,4.0234947,1.0,3.0234947
66,4.0234947,1.0,3.0234947
154,4.0234947,1.0,3.0234947
160,4.0234947,1.0,3.0234947
172,4.0234947,1.0,3.0234947
187,4.0234947,1.0,3.0234947
148,4.0234947,1.0,3.0234947
61,4.0234947,2.0,1.0117474
54,4.0234947,2.0,1.0117474
41,4.0234947,2.0,1.0117474
55,4.0234947,2.0,1.0117474
36,4.0234947,2.0,1.0117474
59,4.0234947,2.0,1.0117474
46,4.0234947,2.0,1.0117474
102,4.2324934,2.0,1.1162467
193,4.0234947,2.0,1.0117474
101,4.0234947,2.0,1.0117474
109,4.0234947,2.0,1.0117474
111,4.0234947,2.0,1.0117474
162,4.0234947,2.0,1.0117474
188,4.0234947,2.0,1.0117474
88,4.0234947,2.0,1.0117474
32,4.0234947,2.0,1.0117474
97,4.0234947,2.0,1.0117474
17,3.8250463,2.0,0.91252315
18,4.0234947,2.0,1.0117474
2,4.0234947,2.0,1.0117474
24,4.0234947,2.0,1.0117474
90,4.0234947,3.0,0.34116492
169,4.0234947,3.0,0.34116492
167,4.0234947,3.0,0.34116492
5,4.0234947,3.0,0.34116492
175,4.0234947,3.0,0.34116492
83,4.0234947,3.0,0.34116492
76,4.0234947,3.0,0.34116492
168,4.0234947,3.0,0.34116492
47,4.0234947,3.0,0.34116492
113,4.0234947,3.0,0.34116492
143,4.0234947,3.0,0.34116492
190,4.0234947,3.0,0.34116492
189,4.0234947,4.0,0.00587368
178,4.0234947,4.0,0.00587368
39,6.4156647,4.0,0.60391617
7,4.4203234,4.0,0.10508084
144,4.0234947,4.0,0.00587368
182,4.0234947,4.0,0.00587368
70,4.0234947,4.0,0.00587368
69,4.0234947,4.0,0.00587368
98,7.576162,4.0,0.89404047
20,5.8753796,4.0,0.4688449
135,5.713695,4.0,0.42842376
33,4.0234947,4.0,0.00587368
150,4.0234947,4.0,0.00587368
136,4.0234947,4.0,0.00587368
115,6.5759096,4.0,0.6439774
50,4.0234947,4.0,0.00587368
170,4.0234947,4.0,0.00587368
51,4.0234947,4.0,0.00587368
56,4.0234947,4.0,0.00587368
118,4.0234947,5.0,0.19530106
53,4.0234947,5.0,0.19530106
21,4.0234947,5.0,0.19530106
177,4.0234947,5.0,0.19530106
49,4.0234947,5.0,0.19530106
64,4.0234947,5.0,0.19530106
117,4.0234947,5.0,0.19530106
159,7.0548997,5.0,0.41097993
116,4.0234947,5.0,0.19530106
146,4.0234947,6.0,0.32941756
126,4.305246,6.0,0.28245902
123,4.0234947,6.0,0.32941756
9,4.0234947,6.0,0.32941756
27,4.0234947,6.0,0.32941756
12,17.891617,6.0,1.9819361
161,4.0234947,6.0,0.32941756
72,6.5600114,6.0,0.09333523
140,4.0234947,6.0,0.32941756
181,4.3526278,6.0,0.27456203
22,4.0234947,6.0,0.32941756
186,4.0234947,6.0,0.32941756
67,5.4458003,7.0,0.22202852
29,7.9917345,7.0,0.14167635
8,4.0234947,7.0,0.42521504
52,5.5260735,7.0,0.21056093
35,6.331581,7.0,0.095488414
155,4.2835164,7.0,0.3880691
73,6.9386525,7.0,0.008763926
158,4.0234947,7.0,0.42521504
93,4.0234947,7.0,0.42521504
91,4.219453,7.0,0.39722103
124,4.0234947,7.0,0.42521504
129,5.47691,7.0,0.21758427
96,6.2434707,8.0,0.21956617
37,4.0234947,8.0,0.49706316
82,4.0234947,8.0,0.49706316
43,4.0234947,8.0,0.49706316
1,4.0234947,8.0,0.49706316
180,4.0234947,9.0,0.552945
86,7.070973,9.0,0.21433634
179,7.960965,9.0,0.11544832
13,5.2330003,9.0,0.41855553
60,7.1531844,9.0,0.20520173
156,4.0234947,9.0,0.552945
185,4.0234947,9.0,0.552945
106,4.0234947,9.0,0.552945
6,4.0234947,10.0,0.5976505
131,4.0234947,10.0,0.5976505
149,7.494738,10.0,0.2505262
78,4.0234947,10.0,0.5976505
38,4.3718586,10.0,0.5628141
74,4.0234947,11.0,0.63422775
147,4.0234947,11.0,0.63422775
192,4.0234947,11.0,0.63422775
134,8.329323,11.0,0.24278884
121,4.0234947,11.0,0.63422775
16,9.910654,11.0,0.09903145
62,4.0234947,11.0,0.63422775
84,8.398343,12.0,0.3001381
3,7.3360176,12.0,0.3886652
105,4.0234947,12.0,0.6647088
68,4.0234947,12.0,0.6647088
153,4.0234947,12.0,0.6647088
42,10.266378,13.0,0.21027859
15,9.636994,13.0,0.25869274
14,4.0234947,13.0,0.6905004
130,7.820119,13.0,0.3984524
191,9.704958,14.0,0.3067887
79,5.0561976,14.0,0.638843
152,10.434887,14.0,0.25465092
25,7.3439283,15.0,0.51040477
112,5.511444,15.0,0.6325704
89,4.0234947,15.0,0.731767
94,10.722273,15.0,0.28518182
138,10.2143345,16.0,0.3616041
75,9.295758,16.0,0.4190151
176,12.54863,16.0,0.21571064
108,4.0234947,16.0,0.7485316
44,10.343079,17.0,0.39158362
11,4.0234947,17.0,0.76332384
23,13.065105,17.0,0.23146439
110,13.380305,17.0,0.21292321
30,9.588588,18.0,0.46730068
57,12.537464,19.0,0.34013346
0,6.7393055,20.0,0.66303474
92,9.05562,20.0,0.547219
128,15.701575,20.0,0.21492124
174,17.896809,21.0,0.14777102
4,12.229648,22.0,0.44410694
164,14.742988,22.0,0.3298642
31,8.705604,23.0,0.6214955
40,15.449958,23.0,0.32826272
173,10.033514,23.0,0.5637603
183,17.319658,23.0,0.24697138
65,17.642147,23.0,0.23295012
85,15.373392,24.0,0.359442
137,19.795034,25.0,0.20819862
157,21.130728,25.0,0.1547709
107,4.0234947,25.0,0.8390602
80,22.290909,26.0,0.14265735
142,19.03922,26.0,0.26772228
71,21.604918,26.0,0.16904163
184,23.317617,27.0,0.13638455
48,4.1123714,28.0,0.85312957
58,41.55307,29.0,0.4328645
19,20.019537,32.0,0.37438947
122,26.451653,33.0,0.19843477
132,28.30594,34.0,0.16747233
166,29.735773,35.0,0.15040648
45,18.488035,35.0,0.47177044
87,27.530775,35.0,0.21340643
133,31.23872,36.0,0.13225777
114,33.068657,37.0,0.106252514
163,30.1985,37.0,0.18382433
26,32.345516,37.0,0.12579685
151,34.887432,40.0,0.1278142
165,35.697124,40.0,0.107571885
95,32.592697,41.0,0.20505616
120,36.026974,42.0,0.14221491
171,41.58242,47.0,0.11526765
63,42.223988,47.0,0.101617284
81,66.102135,74.0,0.10672791
141,73.948555,76.0,0.026992697
125,68.50499,78.0,0.1217309
10,71.20276,80.0,0.10996552
77,77.27777,86.0,0.10142127
28,51.615852,87.0,0.40671435
119,99.98308,114.0,0.12295546
145,188.85226,203.0,0.06969328
